timestamp,seq,bytes,rtt_ms,loss_rate
0.130,0,402970,46.53,0.00
0.228,1,403322,45.26,0.00
0.329,2,402634,46.46,0.00
0.429,3,403642,48.24,0.00
0.530,4,403466,53.03,0.00
0.630,5,403018,49.58,0.00
0.731,6,403530,39.67,0.00
0.831,7,402906,49.62,0.00
0.932,8,403658,106.68,0.00
1.032,9,403450,485.30,0.00
1.133,10,403930,454.41,0.00
1.233,11,403322,424.05,0.00
1.334,12,402778,368.20,0.00
1.434,13,403306,308.85,0.00
1.535,14,402618,249.33,0.00
1.635,15,402298,188.83,0.00
1.736,16,402650,129.68,0.00
1.836,17,402746,67.56,0.00
1.937,18,403082,39.98,0.00
2.037,19,402554,51.85,0.00
2.138,20,401770,70.58,0.00
2.238,21,401722,48.28,0.00
2.339,22,402442,34.66,0.00
2.439,23,401786,40.14,0.00
2.540,24,403690,55.09,0.00
2.640,25,403050,57.24,0.00
2.741,26,402490,60.26,0.00
2.843,27,402954,37.23,0.00
2.943,28,403098,23.48,0.00
3.044,29,402762,27.00,0.00
3.144,30,401722,67.77,0.00
3.245,31,403226,53.76,0.00
3.344,32,402490,45.34,0.00
3.445,33,401466,53.50,0.00
3.545,34,402330,59.61,0.00
3.646,35,401210,40.12,0.00
3.746,36,401770,32.53,0.00
3.846,37,402378,43.09,0.00
3.947,38,401754,55.65,0.00
4.048,39,401866,109.64,0.00
4.148,40,401946,123.67,0.00
4.248,41,402378,64.31,0.00
4.349,42,402554,43.35,0.00
4.449,43,402906,70.08,0.00
4.550,44,403162,82.96,0.00
4.650,45,401786,48.68,0.00
4.751,46,401802,42.87,0.00
4.851,47,402554,58.43,0.00
4.952,48,402218,62.99,0.00
5.052,49,401962,223.29,0.00
5.153,50,402586,136.08,0.00
5.254,51,402122,48.63,0.00
5.355,52,402154,18.74,0.00
5.456,53,402874,39.11,0.00
5.555,54,403114,45.52,0.00
5.656,55,402906,28.35,0.00
5.756,56,402058,25.34,0.00
5.857,57,402218,27.08,0.00
5.957,58,402522,27.41,0.00
6.058,59,402810,45.11,0.00
6.158,60,401514,46.34,0.00
6.259,61,401898,24.92,0.00
6.359,62,401834,23.07,0.00
6.460,63,401578,34.37,0.00
6.561,64,402058,35.91,0.00
6.662,65,402122,48.93,0.00
6.762,66,401866,48.29,0.00
6.862,67,401578,46.31,0.00
6.963,68,402858,45.53,0.00
7.063,69,402362,39.01,0.00
7.164,70,402938,39.51,0.00
7.264,71,402522,46.50,0.00
7.365,72,402138,45.43,0.00
7.465,73,402570,41.97,0.00
7.566,74,401354,41.71,0.00
7.666,75,401562,44.12,0.00
7.767,76,401690,43.99,0.00
7.867,77,401898,44.32,0.00
7.968,78,402698,43.94,0.00
8.068,79,402634,46.04,0.00
8.169,80,402538,45.07,0.00
8.269,81,400874,43.63,0.00
8.369,82,401450,42.86,0.00
8.470,83,400602,50.38,0.00
8.571,84,401866,49.33,0.00
8.672,85,402250,40.18,0.00
8.772,86,402202,40.66,0.00
8.873,87,401610,44.75,0.00
8.973,88,402250,44.65,0.00
9.074,89,401802,46.27,0.00
9.174,90,402202,46.15,0.00
9.275,91,402618,46.54,0.00
9.376,92,401738,46.28,0.00
9.476,93,402426,45.41,0.00
9.577,94,402506,44.70,0.00
9.677,95,402826,46.66,0.00
9.778,96,402474,47.87,0.00
9.878,97,402602,41.34,0.00
9.979,98,402074,40.94,0.00
10.079,99,403418,44.39,0.00
10.180,100,402954,43.98,0.00
10.280,101,402714,61.27,0.00
10.382,102,400906,63.27,0.00
10.481,103,401562,54.94,0.00
10.582,104,402410,54.51,0.00
10.682,105,402746,30.48,0.00
10.783,106,402346,30.34,0.00
10.883,107,402506,53.11,0.00
10.984,108,402122,53.45,0.00
11.084,109,403050,48.37,0.00
11.185,110,403626,47.74,0.00
11.285,111,402826,37.24,0.00
11.386,112,402986,35.77,0.00
11.486,113,402922,44.67,0.00
11.586,114,403626,44.19,0.00
11.687,115,403114,46.03,0.00
11.788,116,403210,45.50,0.00
11.888,117,403146,46.61,0.00
11.989,118,401962,45.91,0.00
12.089,119,402666,48.24,0.00
12.190,120,402522,49.01,0.00
12.391,122,402522,107.68,0.81
12.491,123,402810,36.73,0.81
12.592,124,402842,31.35,0.80
12.692,125,403466,30.87,0.79
12.792,126,403258,32.17,0.79
12.893,127,402810,42.63,0.78
12.993,128,402618,43.50,0.78
13.094,129,403146,45.72,0.77
13.194,130,402810,45.84,0.76
13.295,131,402874,66.60,0.76
13.395,132,403290,271.82,0.75
13.496,133,402362,370.82,0.75
13.597,134,402858,304.62,0.74
13.697,135,402506,238.97,0.74
13.798,136,402362,173.65,0.73
13.898,137,403482,108.07,0.72
13.999,138,402602,42.52,0.72
14.099,139,402554,70.48,0.71
14.200,140,402266,67.63,0.71
14.301,141,402586,47.86,0.70
14.402,142,402922,47.39,0.70
14.502,143,402570,207.04,0.69
14.602,144,402298,468.93,0.69
14.703,145,403050,424.58,0.68
14.803,146,402954,380.66,0.68
14.904,147,403834,336.47,0.68
15.004,148,403802,280.94,0.67
15.105,149,403402,220.53,0.67
15.205,150,403722,160.23,0.66
15.306,151,403594,100.96,0.66
15.407,152,403834,43.16,0.65
15.507,153,403258,160.23,0.65
15.607,154,403274,131.16,0.65
15.708,155,402954,102.54,0.64
15.808,156,403146,60.63,0.64
15.910,157,403642,31.28,0.63
16.009,158,402730,31.75,0.63
16.110,159,401994,136.68,0.62
16.210,160,402810,80.76,0.62
16.311,161,403146,37.56,0.62
16.412,162,403098,39.10,0.61
16.512,163,403146,462.81,0.61
16.613,164,403018,665.35,0.61
16.713,165,403658,638.01,0.60
16.815,166,403162,608.98,0.60
16.915,167,403546,568.26,0.60
17.016,168,403146,515.00,0.59
17.117,169,403194,462.79,0.59
17.217,170,403066,410.89,0.58
17.317,171,403194,979.58,0.58
17.418,172,403194,1059.41,0.58
17.518,173,403530,987.50,0.57
17.619,174,402746,915.55,0.57
17.719,175,402266,843.60,0.57
17.820,176,402794,771.62,0.56
17.920,177,402442,699.40,0.56
18.021,178,402810,627.34,0.56
18.122,179,403306,552.20,0.56
18.224,180,403386,478.16,0.55
18.324,181,402842,404.72,0.55
18.425,182,402906,329.38,0.55
18.525,183,402874,255.06,0.54
18.625,184,402666,180.79,0.54
18.726,185,402730,105.61,0.54
18.826,186,403274,34.58,0.53
18.927,187,403274,46.84,0.53
19.027,188,403354,135.02,0.53
19.128,189,402858,146.12,0.53
19.228,190,402474,78.09,0.52
19.328,191,403258,35.93,0.52
19.429,192,402938,29.01,0.52
